Syst. No," ""Call #	"""," ""Title"""," ""Barcode"""," ""Location"""," ""Item Status"""," ""Status Field"""
4321490,61 B986 C7,Concertino for chamber orchestra / Martin Butler.,39016010031483,Music: Score Reference(LC Call number),Regular Loan,None
4321515,61 B986 F5,Fixed doubles / Butler.,39016010031046,Music: Score Reference(LC Call number),Regular Loan,None
4321512,61 B986 F6,The flights of Col : for full orchestra / Butler.,39016010031327,Music: Score Reference(LC Call number),Regular Loan,None
993249,61 C32 M6,Suite from the ballet The Minotaur; for orchestra.,39016001726943,Music: Score Reference(LC Call number),Regular Loan,None
993195,61 C32 S91,Symphony no. 1 (1942/54),39016001726950,Music: Score Reference(LC Call number),Regular Loan,None
4144338,61 C32 S92,A symphony of three orchestras / Elliott Carter.,39016001725515,Music: Score Reference(LC Call number),Regular Loan,None
993250,61 C32 V2,Variations for orchestra (1954-1955),39016004328739,Music: Score Reference(LC Call number),Regular Loan,None
993196,61 C428 S92,Symphony no. 2; op. 21. New introduction by M. Wiley Hitchcock.,39016001726919,Music: Score Reference(LC Call number),Regular Loan,None
962427,61 C51 S6,Sinfonía índia.,39016002934660,Music: Score Reference(LC Call number),Regular Loan,None
993251,61 C62 S3,Sinfonia in si bemolle; op. 44 (prima pubblicata come op. 18) perorchestra da camera. Revisione di Renato Fasano.,39016003427813,Music: Score Reference(LC Call number),Regular Loan,None
1310677,61 C62 S92,Sinfonia in re; op. 44 (1. pubblicata come op. 18) per orchestra da camera. Revisione di Renato Fasano.,39016001726877,Music: Score Reference(LC Call number),Regular Loan,None
1310207,61 C69 B1,The bamboula : rhapsodic dance / by S. Coleridge Taylor.,BAR3312052,Music: Score Reference(LC Call number),Non Circulating,None
1310207,61 C69 B1,The bamboula : rhapsodic dance / by S. Coleridge Taylor.,BAR3312147,Music: Score Reference(LC Call number),Non Circulating,None
962470,61 C78 A6,Appalachian spring : (Ballet for Martha) / Aaron Copland.,39016002960640,Music: Miniature Score,Regular Loan,None
962470,61 C78 A6,Appalachian spring : (Ballet for Martha) / Aaron Copland.,39016002952381,Music: Miniature Score,Regular Loan,None
962470,61 C78 A6,Appalachian spring : (Ballet for Martha) / Aaron Copland.,39016001697334,Music: Miniature Score,Regular Loan,None
962471,61 C78 B5,Billy the Kid : ballet suite / Aaron Copland.,39016002943687,Music: Miniature Score,Regular Loan,None
993252,61 C78 L3,Three Latin-American sketches / Aaron Copland.,39016001710798,Music: Score Reference(LC Call number),Regular Loan,None
1031318,61 C78 S8,Symphonic ode / Aaron Copland.,39016000545021,Music: Miniature Score,Regular Loan,None
993197,61 C78 S93,Third symphony.,39016001695494,Music: Score Reference(LC Call number),At Bindery,None
4998525,61 C798 S92,Symphony no. 2 for string orchestra / John Corigliano.,39016010747906,Music: Score Reference(LC Call number),Regular Loan,None
993198,61 C87 S821,Symphony no. 11; Seven rituals of music.,39016001726836,Music: Miniature Score,Regular Loan,None
993199,61 C92 S92,Symphony no. II; op. 35.,39016001726794,Music: Miniature Score,Regular Loan,None
1102130,61 C95 H3,A haunted landscape : for orchestra / George Crumb.,39016000558388,Music: Score Reference(LC Call number),Regular Loan,None
3528604,61 D185 F5,First light : (concerto for chamber orchestra in one movement) / Richard Danielpour.,39016004519006,Music: Score Reference(LC Call number),Regular Loan,None
4998527,61 D185 T7,Toward the splendid city / Richard Danielpour.,39016010747633,Music: Score Reference(LC Call number),Regular Loan,None
1104803,61 D256 S93,Symphony no. 3 / Peter Maxwell Davies.,39016002938810,Music: Score Reference(LC Call number),Regular Loan,None
4144137,61 D28 I,Images ; Jeux ; and; The martyrdom of St. Sebastian. Suite / Claude Debussy.,39016001724773,Music: Score Reference(LC Call number),Regular Loan,None
1009420,61 D28 N021,Nocturnes / Claude Debussy.,39016002932672,Music: Miniature Score,Regular Loan,None
5184836,61 D28 N022,Nocturnes : 1898-1899 / Claude Debussy ; édition de Denis Herlin.,39016010878610,Music: Score Reference(LC Call number),Regular Loan,None
1043301,61 D28 P8,Three great orchestral works : in full score / ClaudeDebussy.,39016010506484,Music: Score Reference(LC Call number),Regular Loan,None
993254,61 D336 B5,Suite for orchestra from The betrothal.,CVB993253-10,Music: Score Reference(LC Call number),Regular Loan,None
1045220,61 D35 S6,A song before sunrise : for orchestra / Frederick Delius.,39016001726760,Music: Miniature Score,Regular Loan,None
993255,61 D358 T8,The triumph of Saint Joan; for symphony orchestra.,39016001726844,Music: Miniature Score,Regular Loan,None
3796308,61 D53 P9,Psalm; for large orchestra / David Diamond.,39016002960434,Music: Score Reference(LC Call number),Regular Loan,None
993256,61 D61 E7,Esther; Ouvertüre. Erstdruck [hrsg.] von Wilhelm Jerger.,39016001726802,Music: Score Reference(LC Call number),Regular Loan,None
4143679,61 D79 A9,Aureole : for orchestra / Jacob Druckman.,39016003447399,Music: Score Reference(LC Call number),Regular Loan,None
4144339,61 D79 P9,Prism : for orchestra / Jacob Druckman.,39016001724922,Music: Score Reference(LC Call number),Regular Loan,None
2347616,61 D87 A6,The sorcerer’s apprentice (L’apprenti sorcier),39016005780987,Music: Score Reference(LC Call number),Regular Loan,None
1036852,61 D87 A61,The sorcerer’s apprentice : (L’apprenti sorcier) / PaulDukas.,39016000575499,Music: Miniature Score,Regular Loan,None
3525476,61 D98 S96,Symphonies nos. 6 and 7 / Antonín Dvorák.,39016004520053,Music: Score Reference(LC Call number),Regular Loan,None
1039828,61 D98 S98,"Symphonies nos. 8 and 9 : (""New world"") : in full score / Antonín Dvorák.",39016005775805,Music: Score Reference(LC Call number),Regular Loan,None
993531,61 E34 O,Oriental impressions / by Henry Eichheim.,39016010506690,Music: Score Reference(LC Call number),Regular Loan,None
4143669,61 E41 S1,Symphony no. 1 A? major op. 55 = As-Dur / Edward Elgar.,39016001725119,Music: Score Reference(LC Call number),Regular Loan,None
4144134,61 E41 V,Enigma variations ; and; Pomp and circumstance marches : [no. 1-4] / Edward Elgar.,39016001724476,Music: Score Reference(LC Call number),Regular Loan,None
3795961,61 F49 S,Symphony (1962) for orchestra / Irving Fine.,39016003412799,Music: Score Reference(LC Call number),Regular Loan,None
4322890,61 F514 E6,Eph-phatha : for orchestra / Michael Finnissy.,39016010031897,Music: Score Reference(LC Call number),Regular Loan,None
4322899,61 F514 R3,Red earth : for orchestra / Finnissy.,39016010031939,Music: Score Reference(LC Call number),Regular Loan,None
4212453,61 F514 S93,Symphony no. 3; for orchestra.,39016005473807,Music: Score Reference(LC Call number),Regular Loan,None
4445813,61 F82 P1,"Sommeil de psyche ´: no. 1 from ""Psyche"" ; orchestra score / Franck.",39016004328366,Music: Score Reference(LC Call number),Regular Loan,None
4445814,61 F82 P2,Psyché II : Psyché enlevée par les zéphirs / César Franck.,39016004328531,Music: Score Reference(LC Call number),Regular Loan,None
4445815,61 F82 P3,"Les jardins d’Eros : no. 3 from ""Psyche"" ; orchestra score / Franck.",39016004328481,Music: Score Reference(LC Call number),Regular Loan,None
942709,61 F82 P4,Psyché et Éros : no. 4 from Psyché Franck.,39016004328580,Music: Score Reference(LC Call number),Regular Loan,None
993257,61 G558 R,Russlan and Ludmilla : overture / by M. I. Glinka ; adapted by Henry Sopkin.,39016001727396,Music: Score Reference(LC Call number),Regular Loan,None
993257,61 G558 R,Russlan and Ludmilla : overture / by M. I. Glinka ; adapted by Henry Sopkin.,39016001727438,Music: Score Reference(LC Call number),Regular Loan,None
993257,61 G558 R,Russlan and Ludmilla : overture / by M. I. Glinka ; adapted by Henry Sopkin.,39016001727479,Music: Score Reference(LC Call number),Regular Loan,None
993258,61 G56 S9,Sinfonia in re. Vydal a revidoval Bohumil Geist. 1. vyd.,39016001727511,Music: Score Reference(LC Call number),Regular Loan,None
2348190,61 G61 S16,Ouverture zu Sakuntala : für Orchester; op. 13 / von Carl Goldmark.,39016005780979,Music: Score Reference(LC Call number),Regular Loan,None
993200,61 G61 S91,Ländliche Hochzeit; Symphonie in 5 Sätzen für grossesOrchester. Op. 26.,39016001727552,Music: Score Reference(LC Call number),Regular Loan,None
4445819,61 G616 N,A Negro rhapsody. Orchestral score.,39016002957703,Music: Score Reference(LC Call number),Regular Loan,None
2348199,61 G616 R7,Requiem : for symphony orchestra ; suggested by Lincoln’s Gettysburg Address / by Rubin Goldmark.,39016005780995,Music: Score Reference(LC Call number),Regular Loan,None
2348199,61 G616 R7,Requiem : for symphony orchestra ; suggested by Lincoln’s Gettysburg Address / by Rubin Goldmark.,39016005781001,Music: Score Reference(LC Call number),Regular Loan,None
2348198,61 G616 S,Samson; tone-poem for orchestra.,39016005781027,Music: Score Reference(LC Call number),Regular Loan,None
993201,61 G67 S93,Symphony in D / François Joseph Gossec ; arr. by Adam Carse.,39016001727420,Music: Score Reference(LC Call number),Regular Loan,None
993259,61 G68 N,Night in the tropics. Reconstructed and arr. by Gaylen Hatton.,39016005469623,Music: Score Reference(LC Call number),Regular Loan,None
3873239,61 G723 F2,Fantasia on Welsh nursery tunes / Grace Williams.,39016003418952,Music: Score Reference(LC Call number),Regular Loan,None
2348201,61 G84 P1,Erste Orchestersuite aus der Musik zu Peer Gynt : dramatische Dichtung von H. Ibsen : op. 46. / zur Konzertaffühurung neu bearb. von Edvard Grieg.,39016005781019,Music: Score Reference(LC Call number),Regular Loan,None
1042011,61 G84 S9,Sinfonie c-Moll (1863/64) / Edvard Grieg ; herausgegeben vonFinn Benestad und Gunnar Rugstad.,39016001727388,Music: Miniature Score,Regular Loan,None
993260,61 G849 R03,The white peacock. [Op. 7; no. 1],39016001727347,Music: Miniature Score,Regular Loan,None
993261,61 G87 G7,Grand Canyon suite.,39016001727305,Music: Miniature Score,Regular Loan,None
993261,61 G87 G7,Grand Canyon suite.,39016001717421,Music: Miniature Score,Regular Loan,None
4137969,61 G87 G79,Grand Canyon suite / composed and scored by Ferde Grofé.,BAR3312110,Music: Score Reference(LC Call number),Non Circulating,None
4137969,61 G87 G79,Grand Canyon suite / composed and scored by Ferde Grofé.,BAR3312205,Music: Score Reference(LC Call number),Non Circulating,None
1044908,61 G978 A3,Ahkenaten : a dramatic suite in 2 movements; opus 51 / GeneGutchë.,39016001727263,Music: Score Reference(LC Call number),Regular Loan,None
1044914,61 G978 B5,Bi-centurion : opus 49 / by Gene Gutche.,39016001727222,Music: Score Reference(LC Call number),Regular Loan,None
1044928,61 G978 H4,Helios kinetic : op. 52 / by Gene Gutchë.,39016001727461,Music: Score Reference(LC Call number),Regular Loan,None
1044926,61 G978 I1,Icarus : op. 48 : programmatic suite in four movements / byGene Gutche.,39016001727503,Music: Score Reference(LC Call number),Regular Loan,None
1044927,61 G978 P4,Perseus and Andromeda XX : asymmetric dance suite in 3movements; op. 50 / by Gene Gutchë.,39016001727545,Music: Score Reference(LC Call number),Regular Loan,None
4927048,61 H143 F5,Fire music : for orchestra / by Daron Aric Hagen.,39016010716091,Music: Score Reference(LC Call number),Regular Loan,None
993532,61 H23 W303,Suite for orchestra (from the Water music) / G.F. Händel ; arranged by Hamilton Harty.,39016004523388,Music: Score Reference(LC Call number),Regular Loan,None
993533,61 H25 L9,Lux aeterna; symphonic poem for full orchestra with violaobligato [sic] op. 24.,39016001727586,Music: Score Reference(LC Call number),Regular Loan,None
2348202,61 H25 S911,"Symphony no. 1 in E minor; ""Nordic."" Op. 21.",39016005781035,Music: Score Reference(LC Call number),Regular Loan,None
993406,61 H25 S912,Symphony no. 2 (Romantic); op. 30.,39016001710350,Music: Score Dickinson call #,Regular Loan,None
993406,61 H25 S912,Symphony no. 2 (Romantic); op. 30.,39016004523453,Music: Score Dickinson call #,Regular Loan,None
